fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.3749999999999998,0.54320987654321,0.05405405405405406,0.6034482758620691,0.48898678414096924,0.5032870708546398,0.6233766233766236,0.49999999999999994,0.18965517241379293,0.6666666666666667
0.8249999999999997,0.49382716049382736,0.34054054054054056,0.6206896551724139,0.3348017621145375,0.5836376917458068,0.5714285714285712,0.4074074074074074,0.2931034482758619,0.6666666666666667
0.5999999999999999,0.37037037037037046,0.42702702702702705,0.7586206896551726,0.7268722466960352,0.6201607012418009,0.48051948051948035,0.3333333333333333,0.2586206896551724,0.6666666666666667
0.34999999999999987,0.5925925925925927,0.34594594594594597,0.5344827586206896,0.5066079295154186,0.5690284879474206,0.46753246753246813,0.46296296296296285,0.2068965517241379,0.6666666666666667
0.8249999999999997,0.3456790123456791,0.04864864864864865,0.5172413793103449,0.47577092511013225,0.4886778670562535,0.5194805194805197,0.4259259259259259,0.4482758620689655,0.6666666666666667
0.8249999999999997,0.4691358024691359,0.04594594594594595,0.3275862068965517,0.1850220264317181,0.2695398100803601,0.2207792207792214,0.6296296296296295,0.6206896551724139,0.33333333333333326
0.9499999999999997,0.37037037037037046,0.1945945945945946,0.36206896551724144,0.38766519823788553,0.5544192841490201,0.4155844155844157,0.574074074074074,0.22413793103448265,0.33333333333333326
0.7749999999999999,0.2469135802469136,0.032432432432432434,0.4482758620689655,0.2378854625550661,0.3571950328707203,0.46753246753246813,0.7592592592592591,0.413793103448276,0.33333333333333326
0.44999999999999973,0.19753086419753088,0.04864864864864865,0.5172413793103449,0.5374449339207048,0.29875821767714683,0.9350649350649354,0.5555555555555556,0.6896551724137934,0.9999999999999998
0.44999999999999973,0.2222222222222223,0.04864864864864865,0.31034482758620696,0.40088105726872253,0.3133674214755331,0.558441558441559,0.6111111111111109,0.517241379310345,0.9999999999999998
0.6499999999999999,0.6419753086419755,0.027027027027027035,0.3275862068965517,0.6607929515418502,0.3352812271731267,0.3896103896103904,0.574074074074074,0.5000000000000002,0.6666666666666667
0.4249999999999998,0.5679012345679013,0.372972972972973,0.5172413793103449,0.4933920704845815,0.6128560993425936,0.5194805194805197,0.5185185185185184,0.18965517241379293,0.33333333333333326
0.3999999999999999,0.5679012345679013,0.12432432432432433,0.4137931034482759,0.35682819383259917,0.29875821767714683,0.45454545454545503,0.24074074074074064,0.4482758620689655,0.9999999999999998
0.44999999999999973,0.4691358024691359,0.03783783783783784,0.6551724137931034,0.5330396475770925,0.5836376917458068,0.779220779220779,0.46296296296296285,0.2758620689655171,0.6666666666666667
0.5499999999999998,0.4197530864197532,0.4540540540540541,0.5517241379310345,0.9867841409691631,0.6128560993425936,0.558441558441559,0.5185185185185184,0.3448275862068966,0.6666666666666667
0.5249999999999999,0.3950617283950618,0.021621621621621623,0.6551724137931034,0.5506607929515419,0.43024105186268,0.8181818181818183,0.4074074074074074,0.2758620689655171,0.6666666666666667
0.5499999999999998,0.49382716049382736,0.4378378378378378,0.6379310344827586,0.5286343612334802,0.6566837107377808,0.7272727272727275,0.574074074074074,0.3620689655172413,0.6666666666666667
0.6499999999999999,0.4691358024691359,0.027027027027027035,0.5689655172413793,0.48898678414096924,0.3133674214755331,0.48051948051948035,0.49999999999999994,0.5517241379310345,0.6666666666666667
0.5999999999999999,0.5925925925925927,0.07567567567567568,0.3275862068965517,0.40969162995594716,0.2549306062819596,0.3636363636363642,0.9074074074074072,0.6724137931034486,0.9999999999999998
0.9249999999999998,0.3950617283950618,0.5297297297297298,0.5172413793103449,0.5330396475770925,0.7516435354273199,0.49350649350649434,0.574074074074074,0.2758620689655171,0.6666666666666667
0.875,0.14814814814814822,0.027027027027027035,0.48275862068965525,0.11453744493392072,0.45945945945946676,0.8441558441558445,0.3333333333333333,0.31034482758620663,0.6666666666666667
0.6499999999999999,0.4197530864197532,0.07837837837837837,0.6206896551724139,0.3480176211453745,0.3571950328707203,0.48051948051948035,0.4074074074074074,0.413793103448276,0.6666666666666667
0.34999999999999987,0.09876543209876545,0.04864864864864865,0.5344827586206896,0.42290748898678415,0.4959824689554466,0.779220779220779,0.537037037037037,0.10344827586206895,0.6666666666666667
0.25,0.4691358024691359,0.7756756756756756,0.5172413793103449,0.6960352422907489,0.6639883126369739,0.7142857142857144,0.27777777777777773,0.31034482758620663,0.33333333333333326
0.4249999999999998,0.7654320987654323,0.2594594594594595,0.6379310344827586,0.5638766519823789,0.45945945945946676,0.5454545454545459,0.24074074074074064,0.2758620689655171,0.33333333333333326
0.5499999999999998,0.6172839506172841,0.032432432432432434,0.6724137931034483,0.5154185022026432,0.2549306062819596,0.4025974025974026,0.1111111111111111,0.482758620689655,0.6666666666666667
0.6249999999999998,0.3950617283950618,0.9378378378378378,0.7413793103448276,0.5638766519823789,0.9342585829072476,0.5064935064935066,0.25925925925925913,0.0344827586206895,0.33333333333333326
0.5499999999999998,0.5679012345679013,0.3675675675675676,0.9482758620689657,0.6123348017621145,0.6055514974434004,0.4025974025974026,0.44444444444444436,0.24137931034482762,0.6666666666666667
0.44999999999999973,0.3950617283950618,0.043243243243243246,0.7413793103448276,0.5770925110132159,0.45945945945946676,0.5194805194805197,0.6296296296296295,0.18965517241379293,0.6666666666666667
0.47499999999999987,0.37037037037037046,0.043243243243243246,0.7931034482758621,0.5859030837004405,0.45945945945946676,0.5454545454545459,0.6296296296296295,0.18965517241379293,0.6666666666666667
0.6499999999999999,0.2469135802469136,0.043243243243243246,0.7586206896551726,0.6431718061674009,0.43754565376187315,0.4415584415584419,0.574074074074074,0.2758620689655171,0.9999999999999998
0.34999999999999987,0.9135802469135805,0.20540540540540544,0.8448275862068966,0.8149779735682819,0.5032870708546398,0.5844155844155852,0.5555555555555556,0.24137931034482762,0.0
0.34999999999999987,0.9382716049382718,0.20540540540540544,0.896551724137931,0.8193832599118943,0.4959824689554466,0.558441558441559,0.5555555555555556,0.24137931034482762,0.33333333333333326
0.5249999999999999,0.27160493827160503,0.23783783783783785,0.913793103448276,0.5682819383259912,0.5763330898466137,0.7012987012987013,0.48148148148148134,0.24137931034482762,0.33333333333333326
0.5999999999999999,0.27160493827160503,0.05405405405405406,0.8275862068965518,0.6696035242290749,0.3352812271731267,0.6883116883116891,0.4074074074074074,0.5689655172413792,0.6666666666666667
0.44999999999999973,0.4197530864197532,0.027027027027027035,0.9310344827586208,0.4537444933920705,0.3133674214755331,0.6753246753246751,0.6666666666666665,0.4482758620689655,0.9999999999999998
